MAL_ID,Name,MAL Score,English name,Type,Episodes,Studios,Source,Duration,Rating,Year,Stats Score,Action,Comedy,Drama,Fantasy,Historical,Horror,Kids,Magic,Music,Parody,Romance,School,Sci-Fi,Shoujo,Shoujo Ai,Shounen,Shounen Ai,Slice of Life
5631,Kaumori,5.52,The Bat,Movie,1,Unknown,Original,10,G - All Ages,1930,5.42,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
15137,Entotsuya Peroo,5.51,Unknown,Movie,1,Unknown,Original,22,G - All Ages,1930,4.83,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
23759,Oira no Ski,5.25,My Ski Trip,Movie,1,Unknown,Original,9,G - All Ages,1930,4.96,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
34982,Roba,5.64,The Donkey,Movie,1,Unknown,Book,14,G - All Ages,1930,5.2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35390,Osekisho,4.75,At the Border Checkpoint,Movie,1,Unknown,Original,8,G - All Ages,1930,3.94,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
4390,Sora no Momotarou,5.17,Momotaro's Sky Adventure,Movie,1,Unknown,Original,12,G - All Ages,1931,4.97,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
4391,Saru Masamune,5.46,The Monkey Sword Masamune,Movie,1,Unknown,Original,9,G - All Ages,1931,5.36,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5812,Doubutsu Sumo Taikai,4.73,Animal Sumo,Movie,1,Unknown,Original,52,G - All Ages,1931,4.47,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5826,Oira no Yakyuu,5.42,Our Baseball Match,Movie,1,Unknown,Original,9,G - All Ages,1931,5.33,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
5869,Chou no Sainan,5.38,The Unlucky Butterfly,Movie,1,Unknown,Original,8,G - All Ages,1931,5.23,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
6431,Chameko no Ichinichi,4.9,Unknown,Movie,1,Unknown,Original,6,G - All Ages,1931,4.69,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
28047,Kokoro no Chikara,5.24,Power of the Heart,Movie,1,Unknown,Unknown,11,G - All Ages,1931,4.81,0,0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0
28695,Nonsense Monogatari Dai Ippen: Sarugashima,5.35,"Nonsense Story, Volume 1:Monkey Island",Movie,1,Unknown,Original,27,G - All Ages,1931,5.07,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
29559,San-biki no Koguma-san,0,Three Little Bears,Movie,1,Unknown,Original,9,G - All Ages,1931,4.17,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
34957,Ookami wa Ookamida,5.43,A Wolf is a Wolf,Movie,1,Unknown,Original,11,G - All Ages,1931,4.78,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0
35403,Manga Revue Haru,5.35,"Animated Revue ""Spring""",Movie,1,Unknown,Original,9,G - All Ages,1931,4.77,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0
