name,especie,era,country,diet,type,superorder,order,suborder,clade
carcharodontosaurus,saharicus,Cretaceous,North Africa,carnivorous,large theropod,Dinosauria,Saurischia,Theropoda,Carnosauria
carnotaurus,sastrei,Cretaceous,Argentina,carnivorous,large theropod,Dinosauria,Saurischia,Theropoda,Ceratosauria
caudipteryx,zoui,Cretaceous,China,omnivorous,small theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
cedarpelta,bilbeyhallorum,Cretaceous,USA,herbivorous,armoured dinosaur,Dinosauria,Ornithischia,Genasauria,Thyreophora
centrosaurus,,Cretaceous,Canada,herbivorous,ceratopsian,Dinosauria,Ornithischia,Marginocephalia,Ceratopsia
ceratosaurus,nasicornis,Jurassic,USA,carnivorous,large theropod,Dinosauria,Saurischia,Theropoda,Ceratosauria
cetiosauriscus,stewarti,Jurassic,United Kingdom,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
cetiosaurus,oxoniensis,Jurassic,United Kingdom,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
chaoyangsaurus,youngi,Jurassic,China,herbivorous,ceratopsian,Dinosauria,Ornithischia,Marginocephalia,Ceratopsia
chasmosaurus,,Cretaceous,Canada,herbivorous,ceratopsian,Dinosauria,Ornithischia,Marginocephalia,Ceratopsia
chinshakiangosaurus,zhongheensis,Jurassic,China,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
chirostenotes,pergracilis,Jurassic,Canada,omnivorous,small theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
chubutisaurus,insignis,Cretaceous,Argentina,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
chungkingosaurus,jiangbeiensis,Jurassic,China,herbivorous,armoured dinosaur,Dinosauria,Ornithischia,Genasauria,Thyreophora
citipati,osmolskae,Cretaceous,Mongolia,omnivorous,small theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
coelophysis,,Triassic,Zimbabwe,carnivorous,small theropod,Dinosauria,Saurischia,Theropoda,Coelophysoidea
coelurus,fragilis,Jurassic,USA,carnivorous,small theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
coloradisaurus,brevis,Triassic,Argentina,omnivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Prosauropoda
compsognathus,longipes,Jurassic,Germany,carnivorous,small theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
conchoraptor,gracilis,Cretaceous,Mongolia,carnivorous,small theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
confuciusornis,sanctus,Cretaceous,China,carnivorous,small theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
corythosaurus,casuarius,Cretaceous,USA,herbivorous,euornithopod,Dinosauria,Ornithischia,Ornithopoda,Ankylopollexia
cryolophosaurus,elliotti,Jurassic,Antarctica,carnivorous,large theropod,Dinosauria,Saurischia,Theropoda,Carnosauria
dacentrurus,armatus,Jurassic,United Kingdom,herbivorous,armoured dinosaur,Dinosauria,Ornithischia,Genasauria,Thyreophora
daspletosaurus,torosus,Cretaceous,Canada,carnivorous,large theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
datousaurus,bashanensis,Jurassic,China,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
deinocheirus,mirificus,Cretaceous,Mongolia,omnivorous,large theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
deinonychus,antirrhopus,Cretaceous,USA,carnivorous,small theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
deltadromeus,agilis,Cretaceous,Morocco,carnivorous,large theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
dicraeosaurus,hansemanni,Jurassic,Tanzania,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
dilophosaurus,,Jurassic,USA,carnivorous,large theropod,Dinosauria,Saurischia,Theropoda,Dilophosauridae
diplodocus,longus,Jurassic,USA,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
dromaeosaurus,albertensis,Cretaceous,USA,carnivorous,small theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
