name,especie,era,country,diet,type,superorder,order,suborder,clade
saltasaurus,loricatus,Cretaceous,Argentina,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
saltopus,elginensis,Triassic,United Kingdom,carnivorous,small theropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
sarcosaurus,woodi,Jurassic,United Kingdom,carnivorous,small theropod,Dinosauria,Saurischia,Theropoda,Ceratosauria
saurolophus,osborni,Cretaceous,Mongolia,herbivorous,euornithopod,Dinosauria,Ornithischia,Ornithopoda,Ankylopollexia
sauropelta,edwardsorum,Cretaceous,USA,herbivorous,armoured dinosaur,Dinosauria,Ornithischia,Genasauria,Thyreophora
saurophaganax,maximus,Jurassic,USA,carnivorous,large theropod,Dinosauria,Saurischia,Theropoda,Carnosauria
saurornithoides,mongoliensis,Cretaceous,Mongolia,carnivorous,small theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
scelidosaurus,harrisonii,Jurassic,United Kingdom,herbivorous,armoured dinosaur,Dinosauria,Ornithischia,Genasauria,Thyreophora
scutellosaurus,lawleri,Jurassic,USA,herbivorous,armoured dinosaur,Dinosauria,Ornithischia,Genasauria,Thyreophora
secernosaurus,koerneri,Cretaceous,Argentina,herbivorous,euornithopod,Dinosauria,Ornithischia,Ornithopoda,Ankylopollexia
segisaurus,halli,Jurassic,USA,carnivorous,small theropod,Dinosauria,Saurischia,Theropoda,Coelophysoidea
segnosaurus,galbinensis,Cretaceous,Mongolia,carnivorous,large theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
shamosaurus,scutatus,Cretaceous,Mongolia,herbivorous,armoured dinosaur,Dinosauria,Ornithischia,Genasauria,Thyreophora
shanag,ashile,Cretaceous,Mongolia,carnivorous,small theropod,Dinosauria,Ornithischia,Genasauria,Thyreophora
shantungosaurus,giganteus,Cretaceous,China,herbivorous,euornithopod,Dinosauria,Ornithischia,Ornithopoda,Ankylopollexia
shunosaurus,lii,Jurassic,China,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
shuvuuia,deserti,Cretaceous,Mongolia,omnivorous,small theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
silvisaurus,condrayi,Cretaceous,USA,herbivorous,armoured dinosaur,Dinosauria,Ornithischia,Genasauria,Thyreophora
sinocalliopteryx,gigas,Cretaceous,China,carnivorous,small theropod,Dinosauria,Ornithischia,Genasauria,Thyreophora
sinornithosaurus,millenii,Cretaceous,China,carnivorous,small theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
sinosauropteryx,prima,Cretaceous,China,carnivorous,small theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
sinovenator,changii,Cretaceous,China,carnivorous,small theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
sinraptor,hepingensis,Jurassic,China,carnivorous,large theropod,Dinosauria,Saurischia,Theropoda,Carnosauria
sonidosaurus,saihangaobiensis,Cretaceous,China,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
spinosaurus,aegyptiacus,Cretaceous,Morocco,carnivorous,large theropod,Dinosauria,Saurischia,Theropoda,Spinosauridae
stegoceras,validum,Cretaceous,USA,herbivorous,euornithopod,Dinosauria,Ornithischia,Marginocephalia,Pachycephalosauria
stegosaurus,armatus,Jurassic,USA,herbivorous,armoured dinosaur,Dinosauria,Ornithischia,Genasauria,Thyreophora
stenopelix,valdensis,Cretaceous,Germany,herbivorous,ceratopsian,Dinosauria,Ornithischia,Marginocephalia,Pachycephalosauria
struthiomimus,altus,Cretaceous,Canada,omnivorous,small theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
struthiosaurus,austriacus,Cretaceous,Spain,herbivorous,armoured dinosaur,Dinosauria,Ornithischia,Genasauria,Thyreophora
styracosaurus,albertensis,Cretaceous,USA,herbivorous,ceratopsian,Dinosauria,Ornithischia,Marginocephalia,Ceratopsia
suchomimus,tenerensis,Cretaceous,Niger,carnivorous,large theropod,Dinosauria,Saurischia,Theropoda,Spinosauridae
supersaurus,vivianae,Cretaceous,USA,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
talarurus,plicatospineus,Cretaceous,Mongolia,herbivorous,armoured dinosaur,Dinosauria,Ornithischia,Genasauria,Thyreophora
tanius,sinensis,Cretaceous,China,herbivorous,euornithopod,Dinosauria,Ornithischia,Ornithopoda,Ankylopollexia
tarbosaurus,bataar,Cretaceous,Mongolia,carnivorous,large theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
tarchia,gigantea,Cretaceous,Mongolia,herbivorous,armoured dinosaur,Dinosauria,Ornithischia,Genasauria,Thyreophora
telmatosaurus,transsylvanicus,Cretaceous,Spain,herbivorous,euornithopod,Dinosauria,Ornithischia,Ornithopoda,Ankylopollexia
thecodontosaurus,antiquus,Triassic,United Kingdom,omnivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Prosauropoda
therizinosaurus,cheloniformis,Cretaceous,Mongolia,unknown,large theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
torosaurus,latus,Cretaceous,USA,herbivorous,ceratopsian,Dinosauria,Ornithischia,Marginocephalia,Ceratopsia
triceratops,horridus,Cretaceous,USA,herbivorous,ceratopsian,Dinosauria,Ornithischia,Marginocephalia,Ceratopsia
troodon,formosus,Cretaceous,USA,carnivorous,small theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
tsagantegia,longicranialis,Cretaceous,Mongolia,herbivorous,armoured dinosaur,Dinosauria,Ornithischia,Genasauria,Thyreophora
tsintaosaurus,spinorhinus,Cretaceous,China,herbivorous,euornithopod,Dinosauria,Ornithischia,Ornithopoda,Ankylopollexia
tuojiangosaurus,multispinus,Jurassic,China,herbivorous,armoured dinosaur,Dinosauria,Ornithischia,Genasauria,Thyreophora
tylocephale,gilmorei,Cretaceous,Mongolia,herbivorous,euornithopod,Dinosauria,Ornithischia,Marginocephalia,Pachycephalosauria
tyrannosaurus,rex,Cretaceous,USA,carnivorous,large theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
udanoceratops,tschizhovi,Cretaceous,Mongolia,herbivorous,ceratopsian,Dinosauria,Ornithischia,Marginocephalia,Ceratopsia
unenlagia,comahuensis,Cretaceous,Argentina,carnivorous,small theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
urbacodon,itemirensis,Cretaceous,Uzbekistan,carnivorous,small theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
utahraptor,ostrommaysorum,Cretaceous,USA,carnivorous,large theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
valdosaurus,canaliculatus,Cretaceous,United Kingdom,herbivorous,euornithopod,Dinosauria,Ornithischia,Ornithopoda,Dryosauridae
velociraptor,mongoliensis,Cretaceous,Mongolia,carnivorous,small theropod,Dinosauria,Saurischia,Theropoda,Coelurosauria
vulcanodon,karibaensis,Jurassic,Zimbabwe,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
yangchuanosaurus,shangyouensis,Jurassic,China,carnivorous,large theropod,Dinosauria,Saurischia,Theropoda,Carnosauria
yimenosaurus,youngi,Jurassic,China,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Prosauropoda
yingshanosaurus,jichuanensis,Jurassic,China,herbivorous,armoured dinosaur,Dinosauria,Ornithischia,Genasauria,Thyreophora
yinlong,downsi,Jurassic,China,herbivorous,ceratopsian,Dinosauria,Ornithischia,Marginocephalia,Ceratopsia
yuanmousaurus,jiangyiensis,Jurassic,China,herbivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Sauropoda
yunnanosaurus,huangi,Jurassic,China,omnivorous,sauropod,Dinosauria,Saurischia,Sauropodomorpha,Prosauropoda
zuniceratops,christopheri,Cretaceous,USA,herbivorous,ceratopsian,Dinosauria,Ornithischia,Marginocephalia,Ceratopsia
